KIDEN;Sinistralite;Code usage;Age;Sexe;Code Langue;Code postal;Bonus-malus n;Bonus-Malus n_1;Puissance;Date;Annee vehicule;Primes
169;1;2;1;2;2;2;1;1;1;1;1;2
170;1;2;1;1;2;2;1;1;2;1;1;2
172;2;2;2;1;1;1;2;2;2;1;1;3
173;2;2;1;1;1;2;1;1;2;1;1;1
174;2;2;1;3;2;2;1;2;2;1;1;1
176;2;1;1;1;1;2;2;2;2;1;1;3
179;1;2;1;1;1;2;1;1;2;1;1;1
180;1;2;1;1;2;2;1;1;1;1;1;2
181;2;2;2;1;1;1;2;2;1;1;2;2
182;1;2;1;1;2;2;1;1;2;1;1;2
183;2;2;1;1;1;1;2;2;2;1;2;2
185;1;2;1;2;1;1;1;1;1;1;1;2
186;1;2;1;1;1;1;2;1;1;1;1;2
187;1;2;1;1;2;2;1;1;1;1;1;2
188;1;2;1;2;1;1;1;1;1;1;1;2
189;1;2;1;2;2;1;2;2;1;1;1;3
190;1;2;1;2;2;2;1;1;2;1;1;1
191;2;1;1;3;1;1;2;2;1;1;1;3
192;1;2;1;1;1;2;1;1;1;1;1;2
195;1;2;1;1;1;2;1;1;2;1;1;2
196;1;2;1;1;1;2;1;1;1;1;1;2
197;1;2;1;1;1;2;1;1;2;1;1;1
198;2;1;2;3;1;2;1;1;2;1;2;3
199;1;2;1;1;1;2;1;1;2;1;2;1
201;2;1;1;3;1;1;2;2;2;1;1;3
204;1;2;1;2;1;1;1;1;2;1;1;1
207;1;2;1;1;2;2;1;1;2;1;1;2
208;2;2;1;1;1;2;2;2;2;1;2;3
210;1;2;1;2;2;2;1;1;1;1;1;2
211;1;2;1;1;2;2;1;1;2;1;1;1
212;1;2;1;2;1;2;1;1;2;1;1;1
213;1;2;1;1;2;2;1;2;2;1;1;2
214;2;1;1;1;1;1;1;2;1;1;1;2
215;2;1;1;1;1;2;2;2;1;1;1;3
217;1;2;2;1;2;2;1;1;1;1;1;2
218;2;2;2;1;1;2;2;2;2;1;1;3
220;1;2;2;1;2;2;1;1;1;1;1;2
221;1;2;1;1;1;1;1;1;2;1;1;2
222;1;1;1;3;1;1;1;2;1;1;1;2
223;1;2;1;1;1;2;1;1;2;1;1;2
224;1;1;1;1;1;2;2;1;2;1;2;2
225;1;2;1;1;1;2;1;1;2;1;1;2
226;1;2;1;1;1;2;1;1;1;1;1;2
228;2;1;1;1;1;2;2;2;1;1;1;3
230;1;2;1;1;1;2;1;1;2;1;1;2
232;2;2;2;2;2;1;1;1;1;1;2;2
233;1;2;1;1;1;2;1;1;2;1;1;1
234;1;2;1;1;1;2;1;1;2;1;1;1
235;2;2;1;2;1;2;2;2;1;1;2;3
236;1;1;1;3;1;2;1;1;2;1;1;2
237;1;2;1;1;2;2;1;1;2;1;1;2
238;1;2;1;1;2;2;1;1;1;1;1;2
239;1;2;2;1;1;1;1;1;1;1;1;2
240;2;1;1;3;1;1;2;2;1;1;2;3
241;1;1;2;2;1;1;2;2;1;1;1;3
242;1;2;2;1;1;2;1;1;2;1;1;2
244;1;2;1;2;1;2;1;1;2;1;1;1
245;2;1;2;1;2;1;1;1;1;1;1;2
247;1;2;1;2;1;1;1;1;1;1;1;2
249;1;2;2;2;1;1;1;1;1;1;1;2
252;2;2;1;1;2;2;2;2;1;1;1;2
256;1;2;1;1;1;2;1;1;2;1;1;2
257;2;2;1;1;1;1;2;2;2;1;1;3
258;1;2;1;1;1;2;1;1;2;1;1;1
261;1;2;1;1;1;2;1;1;2;1;2;2
262;2;2;1;3;1;1;1;1;1;1;2;2
264;1;2;1;2;1;2;1;1;1;1;1;2
266;2;1;2;2;1;1;1;1;1;1;2;2
267;1;2;2;1;1;2;1;1;2;1;2;2
268;1;2;1;1;1;2;1;2;2;1;1;1
271;1;2;1;1;1;2;1;1;1;1;1;2
272;2;1;1;1;1;2;2;2;2;1;2;3
273;1;2;2;2;1;1;1;1;1;1;1;2
274;1;2;1;1;1;2;1;1;2;1;1;1
275;1;2;2;1;1;2;1;1;1;1;1;2
276;1;2;2;1;1;2;2;2;1;1;1;2
278;1;2;1;1;1;2;1;1;2;1;1;1
280;2;2;1;1;1;2;1;2;1;1;1;2
281;1;2;1;1;1;2;2;1;1;1;1;2
282;1;2;1;1;1;2;1;1;2;1;1;2
283;1;2;1;1;2;2;1;1;2;2;1;2
284;1;2;2;1;1;1;2;1;2;1;1;2
285;1;2;2;2;1;2;2;2;2;1;1;3
286;1;2;2;1;2;2;1;1;2;1;1;1
287;1;2;1;2;2;2;1;1;2;1;1;1
288;1;2;1;1;1;1;2;2;2;1;1;2
289;1;2;2;1;2;2;1;1;1;1;1;2
290;1;2;2;2;1;1;2;2;1;1;1;2
291;2;2;1;2;2;1;1;1;2;1;1;2
292;2;2;1;2;1;2;1;1;2;1;1;2
293;1;2;2;1;2;2;1;1;1;1;1;2
294;1;2;1;1;1;2;1;1;1;1;2;2
296;1;2;1;1;2;2;1;1;2;1;1;1
297;1;2;2;1;1;2;2;2;1;1;2;2
298;2;2;2;1;1;2;1;1;2;1;2;2
299;1;2;2;1;2;2;1;1;2;1;1;1
300;1;2;1;1;1;2;1;1;1;1;1;2
302;1;2;1;1;2;2;2;2;2;1;1;3
303;1;2;1;1;2;2;2;1;1;1;1;2
305;1;2;1;1;2;2;1;1;2;1;1;2
306;1;2;1;1;1;2;1;1;2;1;1;2
307;1;2;1;1;1;2;1;1;1;1;2;2
308;1;2;2;1;1;2;1;1;1;1;1;2
309;1;2;2;3;2;1;1;1;1;1;1;1
310;1;2;1;1;1;2;1;1;2;1;1;2
311;1;2;2;2;1;2;1;1;1;1;1;2
312;2;2;2;1;1;2;1;1;1;1;2;2
313;2;1;1;1;1;1;2;2;2;1;1;3
314;1;2;1;1;1;2;1;1;1;1;1;2
315;1;2;1;1;1;2;1;1;1;1;1;2
316;2;2;2;1;1;2;2;1;1;1;2;2
318;2;2;2;1;1;2;1;2;1;1;2;2
319;2;2;2;1;1;2;2;2;1;1;2;2
320;2;1;2;1;1;1;1;1;2;1;2;3
321;1;2;2;1;1;2;1;1;1;1;1;2
322;2;2;2;1;1;2;1;2;2;1;1;2
323;1;2;1;2;1;2;1;1;1;1;2;2
324;1;2;1;2;2;1;1;1;1;1;1;2
326;1;2;2;2;1;2;1;1;2;1;1;2
327;2;2;2;1;1;1;2;2;2;1;1;3
328;1;2;1;1;1;2;1;1;2;1;1;1
329;2;2;2;2;1;1;1;2;1;1;1;2
330;1;2;1;1;2;2;1;1;1;1;1;2
331;1;2;1;3;1;1;2;2;2;1;1;3
332;2;1;1;3;1;1;2;2;1;1;1;3
333;1;2;1;2;1;2;1;1;2;1;2;2
336;1;2;1;1;2;2;1;1;2;1;1;2
337;1;2;2;2;1;1;1;1;2;1;1;2
338;1;2;1;1;2;2;2;2;1;1;1;3
340;2;2;1;1;1;2;1;1;1;1;1;2
341;1;2;1;1;1;1;2;2;1;1;2;3
342;2;2;2;1;2;2;1;1;2;1;2;2
343;2;1;1;3;2;2;2;2;2;1;2;3
344;1;2;1;2;1;2;1;1;2;1;1;1
345;1;1;2;1;2;2;1;1;1;1;1;2
346;2;2;1;1;1;1;2;2;1;1;1;3
347;2;2;2;1;1;1;1;1;2;1;1;2
348;1;2;1;1;2;2;1;1;1;1;1;2
350;2;2;2;1;1;1;2;2;2;1;1;3
352;1;2;1;1;1;1;1;1;2;1;1;2
355;1;2;1;2;1;2;1;1;2;1;1;2
357;2;2;1;2;1;1;2;2;2;1;1;2
358;1;2;1;1;1;2;2;2;2;1;1;2
359;1;2;1;2;1;2;1;1;2;1;1;1
360;1;1;1;1;2;2;1;1;2;1;1;2
361;2;2;2;3;1;2;2;2;1;1;1;2
362;2;2;2;1;1;2;2;2;1;1;2;2
363;2;1;1;3;1;1;2;2;2;1;1;3
364;2;2;1;2;2;2;1;1;1;1;1;2
365;2;2;1;2;2;2;1;1;1;1;2;2
366;1;2;1;1;1;1;1;1;2;1;1;1
368;1;2;1;2;1;1;1;2;1;1;1;2
369;2;2;1;1;1;1;1;2;2;1;2;2
370;2;2;2;1;1;1;2;2;2;1;2;2
372;1;2;2;1;1;1;1;1;1;1;2;2
373;2;2;2;2;1;2;2;2;1;1;2;2
374;1;1;2;1;1;1;2;2;1;1;1;2
375;1;2;1;1;2;2;2;1;2;1;1;2
376;2;2;2;1;1;1;1;1;1;1;2;2
377;2;2;2;1;2;2;2;2;2;1;2;2
380;1;2;1;2;1;1;1;1;1;1;1;2
381;1;2;2;1;1;2;1;1;1;1;1;2
382;2;2;2;1;2;1;2;2;2;1;1;2
383;1;2;1;2;2;2;2;2;1;1;1;2
384;2;2;2;2;1;1;1;2;1;1;1;2
385;1;2;1;2;1;2;1;1;2;1;1;2
386;1;2;2;1;2;2;2;2;1;1;2;3
387;1;2;2;1;1;2;1;1;2;1;1;1
389;1;2;2;1;1;1;2;2;1;1;1;2
390;1;1;1;3;1;1;1;1;2;1;1;2
391;1;2;1;1;1;2;1;1;1;1;1;2
392;1;2;1;1;2;2;1;1;2;1;1;2
393;1;1;1;3;1;2;2;2;1;1;1;2
394;2;2;2;1;1;1;1;2;1;1;2;2
395;1;2;1;1;1;2;1;1;2;1;1;2
396;1;2;2;1;1;1;2;1;2;1;1;3
399;2;2;2;1;1;2;1;2;1;1;2;2
400;2;2;2;2;1;1;2;2;2;1;1;3
401;2;1;1;1;1;1;2;2;1;1;2;3
402;1;2;2;2;1;1;1;1;1;1;1;2
403;2;2;2;1;2;2;1;1;1;1;1;2
404;2;2;2;1;2;2;1;1;1;1;1;1
405;1;2;1;1;2;2;1;1;1;1;1;2
407;2;1;1;3;1;2;2;2;2;1;1;3
408;1;2;1;2;1;2;1;1;1;1;1;2
409;1;2;1;1;2;2;2;2;1;1;1;2
410;1;2;2;1;1;1;1;1;2;1;1;2
412;2;1;1;1;1;1;2;2;1;1;2;3
413;2;2;2;2;1;1;2;2;2;1;2;2
414;2;1;1;1;1;1;2;2;2;1;1;3
415;2;2;2;1;1;2;1;2;2;1;2;2
416;1;2;2;2;1;1;1;1;2;1;1;1
417;1;2;2;2;1;1;2;2;1;1;2;3
418;2;2;2;1;2;2;2;2;1;1;1;3
419;2;2;1;1;1;1;2;2;1;1;1;3
423;2;2;2;1;1;2;2;2;2;1;1;3
424;1;2;2;1;1;2;1;1;1;1;1;2
425;1;2;2;1;1;1;2;2;2;1;1;3
427;2;2;2;1;1;1;2;2;1;1;1;2
428;1;2;2;1;1;2;1;2;1;1;1;2
430;1;2;1;3;1;1;2;2;1;1;1;2
431;2;1;1;1;1;1;2;2;1;1;2;2
433;1;2;1;1;1;1;2;2;2;1;1;3
435;1;2;1;1;1;2;2;1;2;1;1;2
438;1;2;2;1;1;2;1;1;1;2;1;2
439;2;2;2;1;1;1;1;1;2;1;1;2
440;2;2;1;3;2;1;2;2;1;1;1;3
442;2;2;2;2;1;1;2;2;2;1;1;2
443;1;2;2;1;2;2;1;1;2;2;2;2
444;2;1;1;1;1;1;2;2;1;1;1;3
445;1;2;2;1;1;1;2;2;1;1;1;2
446;2;2;2;2;1;2;2;1;1;1;1;2
447;1;1;1;3;2;2;2;2;2;1;2;3
448;1;2;2;1;2;2;1;1;2;1;1;2
449;1;2;2;2;1;2;1;1;2;1;1;1
450;2;1;1;1;1;2;2;2;1;1;2;2
451;1;2;2;2;1;2;1;1;1;1;1;2
452;2;1;1;3;2;1;2;2;1;2;1;2
453;2;1;1;3;2;1;2;2;1;2;2;3
455;2;2;2;2;1;1;1;2;1;1;1;2
456;2;2;2;1;1;2;2;1;1;1;1;2
457;2;1;1;3;1;2;2;2;2;1;1;3
458;2;2;2;1;1;1;1;2;1;1;2;2
459;1;2;2;1;1;1;2;2;2;1;1;3
460;2;1;1;3;1;1;1;2;2;1;1;2
462;2;2;2;1;1;1;2;2;1;1;1;2
464;1;2;1;2;1;2;1;1;1;1;2;2
465;2;2;2;1;1;1;2;2;1;1;1;3
466;1;2;2;2;1;1;2;2;2;1;1;2
468;1;2;2;1;2;2;1;1;1;1;1;2
469;2;2;1;1;2;2;1;1;1;1;1;2
470;2;2;1;1;2;2;1;1;1;1;1;2
471;1;2;1;1;2;2;2;2;1;1;2;3
472;1;1;1;3;2;2;2;2;2;1;1;3
474;1;2;2;1;1;2;2;2;1;1;2;3
475;2;1;1;3;2;1;2;2;2;1;1;3
476;2;2;2;2;1;1;2;2;2;1;1;2
477;1;2;1;1;2;2;1;1;1;1;1;2
478;2;1;1;1;1;2;2;2;2;1;1;3
479;2;2;2;1;1;1;1;2;1;1;1;2
480;1;2;1;2;2;2;1;2;2;1;1;2
482;2;1;1;3;2;2;2;2;2;1;1;3
483;1;2;2;2;1;2;1;1;2;1;1;1
484;1;2;1;1;1;2;1;1;2;1;1;2
485;2;2;2;1;1;1;2;2;1;1;1;3
486;2;2;2;1;1;1;2;2;1;1;1;2
488;2;2;2;2;1;1;2;2;2;1;1;3
489;2;1;1;1;1;1;2;2;1;1;2;3
490;2;2;2;1;1;1;2;2;1;1;1;2
491;2;2;2;2;1;1;2;2;1;2;1;3
492;2;2;2;1;1;2;1;2;1;1;1;2
493;2;1;1;3;1;2;2;2;1;2;2;3
494;2;2;2;1;1;1;2;2;2;2;2;2
495;2;2;2;2;1;1;2;2;2;2;1;1
496;1;2;1;1;1;1;1;1;1;1;1;2
497;2;1;2;1;1;2;2;2;2;1;1;3
498;1;2;2;1;1;2;1;1;2;1;1;1
499;2;2;2;2;1;1;2;2;2;1;1;3
500;1;2;2;1;1;2;1;2;2;1;1;2
501;2;2;2;3;1;1;1;2;1;1;1;2
502;1;2;2;1;1;2;1;2;2;1;1;2
503;2;2;2;2;1;2;1;2;1;1;2;2
505;2;2;2;1;1;1;2;2;2;1;1;2
507;2;2;2;1;1;1;2;2;1;1;2;2
508;2;2;2;1;1;2;1;2;1;2;1;2
509;2;2;2;1;1;1;2;2;2;2;1;2
510;1;2;1;1;2;2;2;2;2;1;2;3
511;1;2;2;1;1;2;1;1;2;2;1;1
512;2;2;2;1;1;2;2;2;1;2;2;3
514;2;2;2;1;1;1;2;2;2;2;1;2
515;2;2;2;1;1;1;2;2;2;2;1;3
516;2;1;1;1;1;1;2;2;1;2;1;3
518;2;2;2;1;1;1;2;2;2;2;1;2
519;1;2;2;2;1;2;2;2;2;2;1;1
520;2;1;2;1;1;2;2;2;1;2;2;3
521;2;2;2;1;1;1;2;2;2;2;2;2
522;2;1;1;3;1;2;1;1;2;2;2;3
524;2;2;2;1;1;1;2;2;2;2;1;3
525;2;2;2;2;2;2;2;2;1;2;1;2
526;2;2;2;2;1;2;2;2;1;2;1;3
527;2;2;2;1;1;1;2;2;1;2;1;2
528;2;1;2;1;1;1;2;2;2;2;1;3
529;2;2;2;1;1;1;2;2;2;2;1;2
530;2;1;2;2;1;2;2;2;1;2;1;3
531;1;2;2;1;1;2;2;2;1;2;2;2
532;2;2;2;1;1;1;2;2;2;2;1;3
533;2;2;2;1;1;2;2;2;1;2;2;3
534;2;2;1;1;1;1;2;2;2;2;2;2
535;2;2;2;1;1;1;2;2;1;2;1;3
536;2;2;2;1;2;1;2;2;2;2;1;3
537;2;2;2;1;1;2;2;2;2;2;2;1
538;2;2;2;2;1;1;2;2;2;2;1;3
539;2;2;2;1;1;1;2;2;2;2;1;3
540;2;2;1;1;1;1;2;2;2;2;2;3
541;2;2;2;1;1;1;2;2;2;2;1;1
542;2;1;1;1;1;1;2;2;2;2;1;3
543;2;2;2;1;1;1;2;2;1;2;1;3
544;2;2;2;1;1;1;2;2;2;2;1;3
545;2;2;2;1;1;1;2;2;1;2;1;3
546;2;1;2;2;1;1;2;2;2;2;2;2
547;2;2;2;2;1;1;2;2;1;2;1;3
548;2;2;2;2;1;1;1;2;1;2;1;2
549;2;2;2;1;1;1;2;2;2;2;2;1
550;2;2;2;1;1;1;2;2;2;2;1;2
551;2;1;2;1;1;1;1;2;1;2;1;2
552;2;2;2;3;1;1;2;1;2;2;2;3
553;2;2;2;1;2;2;1;1;2;2;1;2
554;2;2;2;1;1;1;2;2;1;2;1;2
555;2;2;2;1;1;1;2;2;1;2;1;3
556;1;1;1;3;1;2;1;2;2;2;2;3
557;2;2;2;1;1;1;2;2;2;2;1;2
558;2;1;1;3;2;2;2;2;1;2;2;3
559;2;1;1;3;1;1;2;2;1;2;1;3
560;2;2;2;1;2;2;2;2;2;2;2;2
561;2;2;2;1;1;1;2;2;2;2;2;3
562;2;2;2;1;1;1;2;2;1;2;1;2
563;2;2;2;1;1;1;2;2;2;2;1;2
564;2;2;2;1;1;1;2;2;1;2;2;3
565;2;2;2;1;1;2;2;2;2;2;1;3
566;2;2;2;2;1;2;2;2;1;2;2;3
567;2;1;2;1;1;1;2;2;1;2;1;3
568;2;2;2;1;1;1;2;2;2;2;1;2
569;2;1;2;2;1;2;2;2;2;2;2;3
570;2;2;2;2;1;1;2;2;1;2;1;3
571;2;2;2;2;1;1;2;2;2;2;2;2
572;1;2;2;1;1;2;2;2;2;2;1;2
573;2;1;2;1;2;2;2;2;1;2;1;3
574;2;2;2;1;1;2;2;2;1;2;2;3
575;2;1;1;3;1;1;2;2;2;2;2;3
576;2;2;2;1;2;2;2;2;1;2;1;2
577;1;2;2;2;1;1;2;2;2;2;1;1
578;2;1;1;3;1;2;2;2;2;2;2;3
579;2;2;2;2;1;1;2;2;2;2;1;2
580;2;2;2;1;2;2;2;2;1;2;2;2
581;2;2;2;2;1;1;2;2;2;2;2;2
585;2;2;2;1;1;1;2;2;1;2;1;2
586;2;1;2;2;2;2;2;2;2;2;1;2
587;1;2;2;1;2;2;2;2;2;2;1;2
588;2;1;1;1;1;2;2;2;2;2;1;3
589;2;2;2;2;1;1;2;2;2;2;1;1
590;2;2;2;1;2;2;2;2;2;2;1;2
591;2;2;2;1;1;1;2;2;2;2;1;1
592;1;2;2;1;1;1;1;1;1;2;1;1
593;2;2;2;1;1;1;2;2;1;2;1;2
594;2;2;2;1;1;1;1;1;1;2;2;1
595;1;2;2;2;1;1;2;2;1;2;1;1
596;2;2;2;2;1;1;2;2;1;2;1;1
597;2;2;2;1;1;1;2;2;1;2;1;1
598;1;2;2;2;1;1;2;2;1;2;2;1
599;2;2;2;1;1;1;2;2;2;2;1;1
600;2;2;2;2;1;1;2;2;1;2;1;1
601;2;1;2;2;2;2;2;2;2;2;1;1
602;2;1;2;2;2;2;2;2;2;2;1;1
603;1;2;2;1;1;2;1;1;2;2;1;1
605;1;2;1;1;1;1;1;1;2;1;1;1
609;1;2;1;1;1;2;1;1;2;1;1;2
610;1;2;1;1;1;2;2;1;1;1;1;2
611;1;2;1;1;1;2;1;1;1;1;1;2
612;1;2;1;2;1;1;1;1;2;1;1;1
613;2;2;2;1;1;2;2;2;1;1;2;2
614;2;2;2;2;1;1;2;2;2;1;1;3
616;1;2;1;2;1;2;1;1;2;1;1;2
617;1;2;1;1;2;2;1;1;2;1;1;1
618;1;2;1;1;1;2;1;1;1;1;1;2
619;2;1;2;1;1;2;1;2;2;1;1;3
621;1;2;1;1;1;2;1;1;1;1;1;2
622;1;2;1;1;1;2;1;1;2;1;1;3
623;1;2;1;1;2;1;1;1;1;1;1;2
624;1;2;1;1;2;2;1;1;2;1;1;2
625;2;1;1;3;1;1;2;2;2;1;1;3
626;2;2;2;1;1;1;1;2;2;1;2;3
627;1;2;1;1;2;2;1;1;1;1;1;2
629;1;2;1;1;1;2;1;1;1;1;1;2
631;1;2;1;1;2;1;1;1;1;1;1;2
632;1;2;1;1;1;2;1;1;2;1;1;2
635;2;2;2;1;1;2;1;1;1;1;1;2
636;1;2;1;1;1;2;1;1;2;1;1;2
637;1;2;2;1;1;1;1;1;1;1;1;2
639;1;2;1;2;1;1;1;1;2;1;1;1
640;1;2;1;1;1;2;1;1;2;1;1;2
642;1;2;1;2;1;2;1;1;2;1;1;1
644;1;2;1;1;1;2;1;1;1;1;1;2
645;1;1;1;1;2;1;1;1;2;1;1;2
646;1;2;1;2;2;2;1;1;1;1;1;2
649;2;2;1;2;1;2;1;1;2;1;1;1
651;2;2;1;1;1;1;1;1;1;1;1;2
654;1;2;1;1;2;2;1;1;2;1;1;2
656;2;2;1;2;1;1;2;2;1;1;1;3
657;1;2;1;1;1;2;1;1;1;1;1;2
658;1;2;1;1;2;2;1;1;2;1;1;2
659;1;2;2;1;1;2;1;1;2;1;1;2
661;2;1;1;3;1;1;2;2;1;1;1;3
662;1;2;1;2;1;2;1;1;1;1;1;2
663;1;2;1;1;2;2;1;1;2;1;1;2
664;1;2;1;1;1;1;1;2;1;1;1;2
665;2;2;2;1;1;1;2;2;2;1;2;3
667;1;2;1;2;1;2;1;1;2;1;1;1
668;2;2;2;1;1;1;2;2;2;1;2;3
669;2;2;2;2;1;2;2;1;2;1;1;2
671;1;2;2;2;1;2;2;1;1;1;2;1
672;1;2;1;2;1;2;1;1;1;1;1;2
673;1;2;1;1;1;1;1;1;1;1;1;2
674;1;2;1;2;1;2;1;1;1;1;1;2
678;2;2;1;1;1;2;1;1;2;1;1;2
679;1;2;2;1;1;2;1;1;2;1;1;1
680;1;2;1;1;1;2;1;1;1;1;1;2
681;1;2;1;1;1;2;1;1;1;1;1;2
682;1;2;1;1;1;2;1;1;2;1;1;2
684;1;2;1;1;1;2;1;1;2;1;1;2
685;1;2;1;1;1;2;1;1;2;1;1;2
687;2;1;2;1;2;2;2;2;2;1;2;2
688;1;2;1;1;1;2;1;2;1;1;1;2
689;1;2;1;1;1;2;1;1;2;1;1;2
